value,customs_districts_label,location_chinese_trader,trader_zone,customs_regime,country_of_destination,country_of_consumption,location_chinese_producer,producer_zone,transportation_modes,china_hs8,quantity_unit,quantity
20283,,Tongjiang,Others,Ordinary trade,Russia,Russia,Pudong,Ecoomic & Technological Development Area,,44071020,Cubic meter,138
6,,3118,Others,Ordinary trade,Japan,Japan,Tangshan,Others,,73079200,Kilogram,0
9166573,,Linfen,Others,Ordinary trade,Australia,Australia,Lianyungang,Ecoomic & Technological Development Area,,26011120,Kilogram,65455529
9671,,Hepin,Others,Ordinary trade,France,France,Hexi,Others,,22042100,Liter,305
2492201,,Yancheng,Others,Ordinary trade,Russia,Russia,Hebei,Others,,44032020,Cubic meter,14927
52500,,Changzhou,Others,Ordinary trade,UnitedStates,UnitedStates,Changpin,Others,,83112000,Kilogram,2268
13942,,Huaiyin,Others,Ordinary trade,KoreaRep,KoreaRep,Qingdao,Ecoomic & Technological Development Area,,47079000,Kilogram,99290
98051,,Chaoyang,Others,Ordinary trade,Russia,Russia,Chaoyang,Others,,1012900,Kilogram,2700
61774,,Other,Others,Ordinary trade,Ireland,Ireland,Jinhua,Others,,48142000,Kilogram,6028
16155,,Other,Others,Ordinary trade,India,India,Quanzhou,Others,,52010000,Kilogram,8280
2763,,Shannan,Others,Ordinary trade,KoreaRep,KoreaRep,Shannan,Others,,30064000,Kilogram,197
481585,,Yuncheng,Others,Border trade,Russia,Russia,Manzhouli,Others,,31043000,Kilogram,1007500
312936,,Quanzhou,Others,Ordinary trade,Indonesia,Indonesia,Other,Special Economic Zone,,26151000,Kilogram,208000
19374,,Shaoxing,Others,Ordinary trade,Turkey,Turkey,Haining,Others,,43021990,Kilogram,126
20760,,Changchun,Others,Ordinary trade,Germany,Germany,Baoshan,Others,,40021190,Kilogram,16000
117974,,Other,Others,Ordinary trade,Canada,Canada,Nankai,Hi-Technology Industry Development Area,,38119000,Kilogram,28688
119737,,Yingtan,Others,Ordinary trade,UnitedStates,UnitedStates,3352,Others,,74020000,Kilogram,18389
1309775,,Zhangjiagang,Others,Warehousing trade,KoreaRep,KoreaRep,Zibo,Others,,27075000,Kilogram,1024202
275082,,Quzhou,Others,Ordinary trade,Italy,Italy,Daxing,Ecoomic & Technological Development Area,,84223090,Number of item/Set,1
943760,,Tangshan,Others,Ordinary trade,"Korea,DPR","Korea,DPR",Tumen,Others,,72031000,Kilogram,5020000
26513137,,Rizhao,Others,Ordinary trade,UnitedStates,UnitedStates,Chaoyang,Others,,10019900,Kilogram,82207970
640000,,Xishuangbanna,Others,Ordinary trade,Japan,Japan,Hefei,Hi-Technology Industry Development Area,,90221200,Number of item/Set,1
184,,Wuhan,Ecoomic & Technological Development Area,39,SloveniaRep,Poland,Shunyi,Others,,87089999,Kilogram,8
1141,,Kunshan,Others,39,Japan,Japan,Huangpu,Others,,27101991,Kilogram,180
18308,,Qianjiang,Others,Ordinary trade,Japan,Japan,Yuzhong,Others,,90112000,Number of item/Set,1
2387,,Luwan,Others,Ordinary trade,Germany,Sweden,Huimin,Others,,34029000,Kilogram,680
1082048,,Linyi,Others,Ordinary trade,KoreaRep,KoreaRep,Ningbo,Others,,29141100,Kilogram,987449
7640,,Other,Others,Ordinary trade,KoreaRep,KoreaRep,Dongguan,Others,,39241000,Kilogram,261
2455,,Yubei,Others,Ordinary trade,UnitedStates,UnitedStates,Hechuan,Others,,39219090,Kilogram,20
85036,,Jiaxing,Others,Ordinary trade,Myanmar,Myanmar,Kunming,Others,,44034910,Cubic meter,100
53939,,Wuhan,Others,Ordinary trade,HongKong,UnitedStates,Zhabei,Others,,21069090,Kilogram,1299
65121,,5126,Others,Ordinary trade,Germany,Germany,Chaoyang,Others,,84212990,Number of item/Set,1
2555,,Guangzhou,Others,Ordinary trade,Italy,Italy,Heihe,Others,,41071210,Kilogram,83
2553127,,Yangjiang,Others,Ordinary trade,Indonesia,Indonesia,Luwan,Others,,26040000,Kilogram,30491640
3280,,Jiangjin,Others,39,Japan,Japan,Chengdu,Others,,85119090,Kilogram,34
1419,,Tumen,Others,Ordinary trade,KoreaRep,KoreaRep,Changchun,Others,,25131000,Kilogram,900
169965,,Hongkou,Others,Ordinary trade,Romania,Romania,Jiangbei,Ecoomic & Technological Development Area,,44101100,Kilogram,601250
1397,,Shiyan,Others,Ordinary trade,UnitedStates,UnitedStates,Zhengzhou,Others,,90211000,Kilogram,8
4,,Xuhui,Others,Ordinary trade,Italy,Italy,Shishi,Others,,48211000,Kilogram,3
15515,,Nanjin,Others,Ordinary trade,Nigeria,Nigeria,Qinhuangdao,Others,,26070000,Kilogram,27500
2891,,Qinzhou,Others,Ordinary trade,Vietnam,Vietnam,Qinzhou,Others,,8134090,Kilogram,700
34225,,Harbin,Others,Ordinary trade,Italy,Italy,3352,Others,,84328090,Number of item/Set,5
46451,,Shantou,Special Economic Zone,Ordinary trade,Singapore,Singapore,Shunde,Others,,39011000,Kilogram,32000
2130700,,Rizhao,Others,Ordinary trade,Philippines,Philippines,Shunde,Others,,26040000,Kilogram,39363500
5,,Minhang,Others,39,Japan,Japan,Ezhou,Others,,39232900,Kilogram,1
3065990,,Changpin,Others,Ordinary trade,Singapore,UnitedStates,Hangzhou,Others,,90318090,Number of item/Set,3
2640050,,Jingmen,Others,Ordinary trade,India,India,Xicheng,Others,,52010000,Kilogram,1498128
2004250,,Xuanwu,Others,Ordinary trade,Belgium,France,Xilinguole,Others,,84748010,Number of item/Set,2
9171038,,Yulin,Others,Ordinary trade,PapuaNewGuinea,PapuaNewGuinea,Yuyao,Others,,75012010,Kilogram,8017342
1314472,,Xiamen,Special Economic Zone,Ordinary trade,UnitedStates,UnitedStates,Zhangzhou,Others,,4021000,Kilogram,382500
1844471,,Rizhao,Others,Ordinary trade,UnitedStates,UnitedStates,Nanjin,Others,,44032020,Cubic meter,9181
1550,,Erenhot,Others,Ordinary trade,Mongolia,Mongolia,Shenzhen,Special Economic Zone,,94060000,Kilogram,775
57184,,Tanggu,Others,Ordinary trade,UnitedStates,UnitedStates,Jilin,Others,,4041000,Kilogram,38250
670985,,Chengdu,Others,Ordinary trade,UnitedStates,UnitedStates,Nantong,Others,,10019900,Kilogram,2067672
294,,Haidion,Others,Ordinary trade,HongKong,China,Huizhou,Others,,61033300,Number of item/Set,7
382065,,Foshan,Others,Ordinary trade,Germany,Germany,Guangzhou,Others,,4012000,Kilogram,353931
736049,,Huimin,Others,Ordinary trade,Australia,Australia,Suzhou,Others,,52010000,Kilogram,359000
448149,,Dongcheng,Others,Border trade,Vietnam,Vietnam,Pingxiang,Others,,8039000,Kilogram,2304874
10275000,,Yancheng,Others,Process with imported materials,KoreaRep,KoreaRep,Jiading,Others,,29173990,Kilogram,6100000
9757,,Foshan,Others,Ordinary trade,HongKong,HongKong,Fuzhou,Others,,34031900,Kilogram,6800
91575,,3117,Others,Ordinary trade,Belgium,Germany,Taizhou,Others,,39012000,Kilogram,49500
34704,,Shenzhen,Special Economic Zone,Ordinary trade,Philippines,Philippines,Quanzhou,Others,,25151200,Kilogram,176420
381649,,Taicang,Others,Ordinary trade,Russia,Russia,Changchun,Others,,44032020,Cubic meter,2346
1915,,Xilinguole,Others,Ordinary trade,Japan,Japan,Hohhot,Others,,84798999,Number of item/Set,1
92000,,Dandong,Others,Warehousing trade,"Korea,DPR","Korea,DPR",Benxi,Others,,3055100,Kilogram,11500
799879,,Other,Others,Ordinary trade,UnitedStates,UnitedStates,Xicheng,Others,,1051110,Kilogram,2508
497388,,Jiangbei,Ecoomic & Technological Development Area,Ordinary trade,KoreaRep,KoreaRep,Fuzhou,Ecoomic & Technological Development Area,,39012000,Kilogram,342000
1732500,,Heze,Others,Ordinary trade,UnitedStates,UnitedStates,Liaochen,Others,,38159000,Kilogram,7500
158196,,Dongcheng,Others,Ordinary trade,Germany,Germany,Luohe,Others,,84224000,Number of item/Set,1
775900,,Jinan,Others,Ordinary trade,Pakistan,Pakistan,Hangzhou,Others,,26011110,Kilogram,7980395
16299,,Putian,Others,Ordinary trade,Indonesia,Indonesia,Shishi,Others,,12122171,Kilogram,25000
242,,Jiading,Others,Ordinary trade,Japan,Japan,Xiqing,Others,,56031110,Kilogram,26
1457150,,Qiandongnan,Others,Ordinary trade,S.Africa,S.Africa,Xuhui,Others,,26100000,Kilogram,9482948
838357,,Wafangdian,Others,Process with imported materials,France,France,Wafangdian,Others,,2032900,Kilogram,219682
43403714,,Tongling,Others,Ordinary trade,Thailand,"Laos,PDR",Tongling,Others,,26030000,Kilogram,19842476
2876,,Mishan,Others,Border trade,Russia,Russia,Mishan,Others,,3031900,Kilogram,639
74970,,Xiamen,Special Economic Zone,Ordinary trade,Turkey,Turkey,Changzhou,Others,,25151200,Kilogram,373730
21308,,Hangzhou,Others,Ordinary trade,UnitedStates,UnitedStates,Zhengzhou,Others,,40112000,Kilogram,3742
453781,,Cixi,Others,Ordinary trade,UnitedStates,UnitedStates,Xicheng,Others,,1051110,Kilogram,1018
191,,Chaoyang,Others,39,Germany,Germany,3119,Others,,29336910,Kilogram,1
1892579,,Xiangtan,Others,Ordinary trade,Australia,Australia,Shijiazhuang,Others,,26011120,Kilogram,16031840
146053,,Hangzhou,Others,Ordinary trade,Pakistan,Pakistan,Jiading,Others,,8029090,Kilogram,16053
850101,,Tanggu,Others,Ordinary trade,Canada,Canada,Beichen,Others,,12040000,Kilogram,1297905
6097,,Bijie,Others,Donation by Overseas Chinese,UnitedStates,UnitedStates,Shunyi,Others,,30039090,Kilogram,50
2,,pingu,Others,39,Germany,Germany,Luwan,Others,,73269090,Kilogram,0
1677,,Kunshan,Others,Ordinary trade,Germany,Denmark,Jingzhou,Others,,39269010,Kilogram,0
60624,,Yangzhou,Others,Ordinary trade,Singapore,Singapore,Pudong,Ecoomic & Technological Development Area,,9021090,Kilogram,1250
84671,,3118,Others,Ordinary trade,Poland,Poland,Heze,Others,,20098919,Kilogram,17820
25933,,Foshan,Others,Ordinary trade,Indonesia,Indonesia,Dezhou,Others,,70169090,Kilogram,40300
31739,,Yichang,Others,Ordinary trade,Japan,Japan,Anqing,Others,,90271000,Number of item/Set,6
2292,,Dandong,Others,Ordinary trade,Japan,Japan,Changning,Others,,52083200,Meter,385
192,,Baodi,Others,Process & assembling,Japan,Japan,Dongli,Others,,39261000,Kilogram,8
17533,,4512,Others,Ordinary trade,France,France,Huairou,Others,,72179000,Kilogram,4608
6350,,Baodi,Others,Process & assembling,Japan,Japan,Dongcheng,Others,,39232900,Kilogram,559
410,,Weifang,Others,Ordinary trade,UnitedStates,UnitedStates,Shaoxing,Others,,29121900,Kilogram,3
4620,,Dongcheng,Others,39,France,France,1191,Others,,49019900,Kilogram,165
505,,Nanjing,Others,Ordinary trade,SlovakiaRep,SlovakiaRep,Xuzhou,Others,,40169310,Kilogram,53
5550,,Dalian,Others,Ordinary trade,KoreaRep,KoreaRep,Suining,Others,,34070090,Kilogram,802
87790,,Jixi,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Chaoyang,Others,,85359000,Kilogram,310
351618,,Cixi,Others,Ordinary trade,Spain,Spain,3352,Others,,15091000,Kilogram,68449
158214,,Taicang,Others,Ordinary trade,Bangladesh,Bangladesh,Minhang,Others,,15155000,Kilogram,94080
146019,,2217,Others,Ordinary trade,UnitedStates,UnitedStates,Dongcheng,Others,,90181291,Number of item/Set,1
9364190,,Zhoushan,Others,Ordinary trade,Australia,Australia,Taiyuan,Others,,27011290,Kilogram,121000000
2388316,,Chengdu,Others,Ordinary trade,Kazakhstan,Kazakhstan,Qingdao,Others,,27101922,Kilogram,4062528
103692,,Weifang,Others,Ordinary trade,Belgium,Germany,Minhang,Others,,39202090,Kilogram,18246
569,,Dalian,Others,Ordinary trade,Japan,Japan,Hechuan,Others,,64039900,Kilogram,21
334,,Jining,Others,Ordinary trade,Japan,Japan,Kunshan,Others,,84314999,Kilogram,170
2890158,,Jiangyin,Others,Ordinary trade,Morocco,Morocco,Xinyang,Others,,26011110,Kilogram,27935000
44738,,Wuqing,Others,Ordinary trade,HongKong,Japan,Shenzhen,Special Economic Zone,,28111990,Kilogram,10250
10223,,Other,Others,Ordinary trade,Denmark,Germany,Xicheng,Others,,28444090,Gram,5
1898831,,Jiangyin,Others,Ordinary trade,Indonesia,Indonesia,Shenzhen,Special Economic Zone,,26011190,Kilogram,36071534
288,,Shenyang,Others,Ordinary trade,KoreaRep,KoreaRep,Yingkou,Others,,16010020,Kilogram,180
61500,,Yingtan,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Jiading,Others,,84563010,Number of item/Set,1
2255,,Other,Others,Ordinary trade,UnitedStates,UnitedStates,Miyun,Others,,47032100,Kilogram,671
4096,,Shenyang,Others,Ordinary trade,Sweden,Sweden,Dongguan,Others,,72255000,Kilogram,1632
271110,,Other,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Zhaoqing,Others,,39019020,Kilogram,170000
56054,,Tanggu,Others,Ordinary trade,Belgium,Belgium,Xiqing,Others,,2064900,Kilogram,49170
52622,,Shenzhen,Special Economic Zone,Ordinary trade,UnitedStates,UnitedStates,Zhenjiang,Others,,8023100,Kilogram,19724
2434,,Miyun,Others,Ordinary trade,UnitedStates,UnitedStates,Nanchang,Others,,39269090,Kilogram,27
17181,,Taicang,Others,Ordinary trade,Brazil,Brazil,3119,Others,,44072990,Cubic meter,21
403319,,Urumqi,Others,Ordinary trade,Kazakhstan,Kazakhstan,Bayin,Others,,25030000,Kilogram,3252545
20280,,Other,Others,Ordinary trade,KoreaRep,KoreaRep,Chizhou,Others,,90303900,Number of item/Set,10
3722,,Huizhou,Others,Border trade,Vietnam,Vietnam,Baise,Others,,44089029,Kilogram,33380
3036,,Taiyuan,Others,39,KoreaRep,KoreaRep,Hepin,Others,,39053000,Kilogram,2000
832,,Luwan,Others,39,Malaysia,Malaysia,Maanshang,Others,,26011110,Kilogram,40
16503,,Neijiang,Others,Ordinary trade,HongKong,CzechoRep,Shenzhen,Special Economic Zone,,27101999,Kilogram,5760
4,,Chuongming,Others,Ordinary trade,Japan,Japan,Zhabei,Others,,39262090,Kilogram,1
225,,Sanya,Special Economic Zone,39,Chile,Chile,Haidion,Others,,10051000,Kilogram,18
1890144,,Chaoyang,Others,Ordinary trade,Australia,Australia,Pudong,Ecoomic & Technological Development Area,,26140000,Kilogram,10500800
9673,,Xiangtan,Others,Ordinary trade,Italy,Italy,Liuan,Others,,83100000,Kilogram,100
44940,,Nan’an,Others,Ordinary trade,KoreaRep,KoreaRep,Hangzhou,Others,,29053990,Kilogram,28000
196271,,Shangrao,Others,Process with imported materials,UnitedKingdom,UnitedKingdom,Huzhou,Others,,52113900,Meter,18601
2055257,,Taicang,Others,Ordinary trade,SaudiArabia,SaudiArabia,4430,Others,,29053100,Kilogram,1900000
113820,,Nanning,Others,Ordinary trade,KoreaRep,KoreaRep,Jiading,Others,,38244010,Kilogram,126000
1363,,Chongwon,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Other,Others,,84199090,Kilogram,200
9463,,Other,Others,Ordinary trade,Japan,Japan,Huairou,Others,,21039090,Kilogram,2288
274525,,Other,Others,Ordinary trade,Germany,Germany,Jiangbei,Ecoomic & Technological Development Area,,84571010,Number of item/Set,1
11393518,,4513,Others,Ordinary trade,Australia,Australia,Linyi,Others,,27011290,Kilogram,137200000
5517,,Wuhu,Others,Ordinary trade,Vietnam,Vietnam,Dongli,Others,,25051000,Kilogram,40000
327,,Yubei,Ecoomic & Technological Development Area,Ordinary trade,Japan,Japan,Fangshan,Others,,39191099,Kilogram,24
9585136,,4430,Others,Ordinary trade,Kuwait,Kuwait,Wenzhou,Others,,27111200,Kilogram,11548357
81244,,Jinxi,Others,Ordinary trade,Australia,Australia,Dalian,Others,,22042100,Liter,11439
1284994,,Shunde,Others,Ordinary trade,Japan,Japan,Xiqing,Others,,84571010,Number of item/Set,17
5263,,Shunyi,Others,Ordinary trade,France,France,Yangjiang,Others,,72221100,Kilogram,11
14242693,,Yancheng,Others,Ordinary trade,Russia,Russia,Suifenhe,Others,,44032020,Cubic meter,86246
64541,,4429,Others,Ordinary trade,Iran,Iran,4451,Others,,25151100,Kilogram,403384
5374,,Other,Others,Ordinary trade,KoreaRep,KoreaRep,Changsha,Others,,84201000,Number of item/Set,1
23209,,Other,Others,Ordinary trade,HongKong,Canada,Nanhui,Others,,56031490,Kilogram,1480
1303,,Wenzhou,Others,39,Italy,Italy,Yangpu,Others,,42022100,Kilogram,2
9492,,Other,Others,Ordinary trade,India,India,Dongcheng,Others,,84483390,Kilogram,1017
1804,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,Italy,Italy,Quzhou,Others,,40169910,Kilogram,288
573823,,Other,Others,Ordinary trade,Australia,Australia,Xuanwu,Others,,2044100,Kilogram,159395
2481910,,Zhenjiang,Others,Ordinary trade,Ukraine,Kazakhstan,Suzhou,Others,,25030000,Kilogram,16000000
5760,,Yuncheng,Others,Ordinary trade,Italy,Italy,Xiamen,Special Economic Zone,,22090000,Liter,17600
3397536,,Nanchang,Others,Ordinary trade,UnitedStates,UnitedStates,Xiamen,Special Economic Zone,,10059000,Kilogram,12367507
432,,Shunyi,Others,Ordinary trade,Germany,Germany,Nanpin,Others,,25010020,Kilogram,1
100300,,Honghe,Others,Ordinary trade,Vietnam,Vietnam,Hekou County,Others,,1062020,Kilogram,7876
5697855,,Ningde,Others,Ordinary trade,Indonesia,Indonesia,Guangzhou,Others,,27011290,Kilogram,67793000
20400,,Chaoyang,Others,Ordinary trade,UnitedStates,UnitedStates,Hefei,Others,,4041000,Kilogram,20000
6275330,,Nantong,Others,Ordinary trade,Indonesia,Indonesia,Baotou,Others,,27011210,Kilogram,40486000
1208320,,Huaiyin,Others,Process with imported materials,Japan,Japan,Cixi,Others,,29337100,Kilogram,512000
4750,,Liaochen,Others,Ordinary trade,HongKong,HongKong,Haidion,Hi-Technology Industry Development Area,,84148090,Number of item/Set,1
1496587,,Taizhou,Others,Ordinary trade,Indonesia,Indonesia,Tangshan,Others,,26011120,Kilogram,20072250
29,,Urumqi,Others,Ordinary trade,Netherlands,Netherlands,Suizhou,Others,,73181510,Kilogram,2
174,,Yixing,Others,39,Taiwanprov.,Taiwanprov.,Yixing,Others,,4069000,Kilogram,55
5040,,Xuzhou,Others,Ordinary trade,KoreaRep,KoreaRep,Sanming,Others,,28046900,Kilogram,8000
1804792,,Taizhou,Others,Ordinary trade,Indonesia,Indonesia,Meizhou,Others,,27021000,Kilogram,35000000
222241,,Kelamayi,Others,Ordinary trade,Germany,Germany,Pudong,Ecoomic & Technological Development Area,,29319090,Kilogram,5050
129492,,Other,Others,Ordinary trade,Singapore,Italy,Tanggu,Ecoomic & Technological Development Area,,82071990,Kilogram,261
13751032,,Holunbeir,Others,Ordinary trade,Cuba,Cuba,Dongcheng,Others,,17011400,Kilogram,26000000
7827784,,Shantou,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,Xining,Others,,27011290,Kilogram,102100000
1055383,,Shenyang,Others,Ordinary trade,HongKong,Singapore,Xuanwu,Others,,24022000,In thousand,44220
137200,,Dalian,Others,Ordinary trade,Malaysia,Malaysia,Pindu,Others,,15171000,Kilogram,53195
42126,,Nanyang,Others,Ordinary trade,UnitedStates,UnitedStates,Shenzhen,Special Economic Zone,,28444090,Gram,20
2309,,Hebei,Others,Process & assembling,KoreaRep,KoreaRep,Dongli,Others,,52083900,Meter,274
19725,,Daqing,Others,Ordinary trade,Italy,Italy,Nanjin,Others,,41019019,Kilogram,24582
1104,,Yiwu,Others,Ordinary trade,UnitedArabEmirates,China,Tongxian,Others,,42023200,Kilogram,55
2860398,,Lianyungang,Others,Ordinary trade,Thailand,Thailand,Fuzhou,Others,,7141020,Kilogram,11644695
91989,,Shantou,Special Economic Zone,Ordinary trade,Taiwanprov.,Taiwanprov.,Nanhui,Others,,39202090,Kilogram,35935
4,,Taicang,Others,Ordinary trade,France,France,Chaoyang,Others,,39173200,Kilogram,0
2187000,,Taizhou,Others,Ordinary trade,Indonesia,Indonesia,Xi'an,Others,,27021000,Kilogram,54675000
10741009,,Wuhan,Others,Ordinary trade,S.Africa,S.Africa,Rizhao,Others,,26011120,Kilogram,69903255
1832,,Pudong,Ecoomic & Technological Development Area,39,UnitedStates,UnitedStates,Huangyan,Others,,33029000,Kilogram,32
215768,,Hongkou,Others,Ordinary trade,Italy,Italy,Shenzhen,Special Economic Zone,,68101910,Kilogram,227500
112016,,Mianyan,Others,Ordinary trade,Singapore,Singapore,Haidion,Others,,49070090,Kilogram,5
20608,,Jixian,Others,Ordinary trade,Turkey,Turkey,Hexi,Others,,39231000,Kilogram,2989
8245,,Changpin,Others,Ordinary trade,UnitedStates,UnitedStates,Daxing,Others,,29212900,Kilogram,110
4597820,,Tongjiang,Others,Ordinary trade,Indonesia,Indonesia,Shantou,Special Economic Zone,,27011900,Kilogram,48444000
98610,,Other,Others,Ordinary trade,Japan,Japan,Nanhai,Others,,40169990,Kilogram,18978
2795,,Dezhou,Others,Ordinary trade,India,India,Jinan,Others,,10051000,Kilogram,200
51977,,Jiaxing,Others,Ordinary trade,Japan,Japan,Yichung,Others,,39151000,Kilogram,54000
742316,,Nan’an,Ecoomic & Technological Development Area,Ordinary trade,Singapore,CzechoRep,Xuanwu,Others,,85176229,Number of item/Set,12
4819,,Hami,Others,Ordinary trade,Germany,Germany,Zhengzhou,Others,,27101999,Kilogram,69
350262,,Nankai,Hi-Technology Industry Development Area,Ordinary trade,Germany,Germany,Foshan,Others,,84423021,Number of item/Set,3
4339,,Nanning,Others,Ordinary trade,Japan,Japan,Xiaogan,Others,,85234920,Number of item/Set,1
77409,,Changning,Others,Ordinary trade,Australia,Australia,Tanggu,Ecoomic & Technological Development Area,,48041100,Kilogram,124896
4602,,Jian,Others,Process & assembling,Taiwanprov.,KoreaRep,Jian,Others,,27101230,Kilogram,3173
12036,,Xiamen,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,3752,Others,,5080090,Kilogram,24000
209904,,Huixian,Others,Ordinary trade,Cameroon,Cameroon,Changzhou,Others,,52010000,Kilogram,98665
113944,,Other,Others,Ordinary trade,HongKong,HongKong,Yangpu,Others,,43021990,Kilogram,443
70809148,,Jieyang,Others,Ordinary trade,Indonesia,Indonesia,Guangzhou,Others,,27011290,Kilogram,805800000
4800,,Yanqing,Others,Ordinary trade,Spain,Spain,Yanqing,Others,,4090000,Kilogram,660
61916,,Zhabei,Others,Ordinary trade,KoreaRep,KoreaRep,Xiamen,Special Economic Zone,,39206200,Kilogram,5977
8184,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,Netherlands,Netherlands,Dadukou,Others,,39079100,Kilogram,1290
12876,,Other,Special Economic Zone,Ordinary trade,Mozambique,Mozambique,Jinan,Others,,26140000,Kilogram,50000
25013,,Miluo,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Changsha,Others,,39151000,Kilogram,33700
9580,,Nanpin,Others,Ordinary trade,Japan,China,Nanpin,Others,,7129010,Kilogram,2729
307553,,Hangzhou,Others,Ordinary trade,Australia,Australia,Zhangjiagang,Others,,51011100,Kilogram,26651
6650,,Taian,Others,Process with imported materials,Japan,Japan,Weihai,Others,,96062200,Kilogram,71
313810,,Wuhan,Ecoomic & Technological Development Area,Ordinary trade,Singapore,SaudiArabia,Yangpu,Others,,39012000,Kilogram,198000
85320,,Taicang,Others,Ordinary trade,KoreaRep,KoreaRep,Changji,Others,,39012000,Kilogram,54000
29052,,Hunchun,Others,Process with imported materials,"Korea,DPR","Korea,DPR",Yantai,Ecoomic & Technological Development Area,,3074900,Kilogram,23640
2146592,,Changzhou,Others,Ordinary trade,Japan,Japan,Linyi,Others,,29032100,Kilogram,2608253
18044,,Manzhouli,Others,Border trade,Mongolia,Mongolia,Manzhouli,Others,,3036600,Kilogram,13880
1128,,Lianyungang,Others,Ordinary trade,KoreaRep,KoreaRep,Nanning,Others,,84099199,Kilogram,23
1056524,,Zhaoqing,Others,Ordinary trade,Greece,Greece,Dongcheng,Others,,52010000,Kilogram,492788
1712,,3118,Others,Ordinary trade,UnitedStates,UnitedStates,Guangzhou,Others,,11081200,Kilogram,340
214,,Putuo,Others,Ordinary trade,Japan,Japan,3752,Others,,39233000,Kilogram,4
233,,Haining,Others,Ordinary trade,Italy,Italy,Nanning,Others,,39232100,Kilogram,5
77000,,3119,Others,Ordinary trade,KoreaRep,KoreaRep,Jiading,Others,,29336990,Kilogram,20000
4515190,,Dongguan,Others,Ordinary trade,NewZealand,NewZealand,Zhangzhou,Others,,44032030,Cubic meter,29310
41333,,Yubei,Ecoomic & Technological Development Area,Ordinary trade,Thailand,Thailand,Dongguan,Others,,39019020,Kilogram,24750
12485,,Changsha,Others,Border trade,Vietnam,Vietnam,Baise,Others,,8109080,Kilogram,18801
1387224,,Tongling,Others,Ordinary trade,Vietnam,Vietnam,Jiangyin,Others,,26140000,Kilogram,4950000
2105797,,Jiangyin,Others,Ordinary trade,Malaysia,Malaysia,Pudong,Ecoomic & Technological Development Area,,26011120,Kilogram,18649000
493,,Dongcheng,Others,Ordinary trade,HongKong,China,Putuo,Others,,39262090,Kilogram,5
1290,,Changsha,Others,Ordinary trade,France,France,Qingpu,Others,,39173900,Kilogram,52
346627,,Shunde,Others,Ordinary trade,CostaRica,CostaRica,Nanhai,Others,,6021000,Number of item/Set,345600
274000,,Taizhou,Others,Ordinary trade,Sweden,Sweden,Changning,Others,,47031100,Kilogram,400000
1941078,,Zhanjiang,Others,Ordinary trade,Canada,Canada,Xiamen,Special Economic Zone,,10011900,Kilogram,5250000
209,,Xining,Ecoomic & Technological Development Area,39,UnitedStates,UnitedStates,Qingdao,Others,,32141090,Kilogram,5
655436,,Jiamusi,Others,Border trade,Russia,Russia,Fujin,Others,,44032020,Cubic meter,5959
346,,Daxing,Others,Ordinary trade,Japan,Japan,pingu,Others,,30059010,Kilogram,1
110,,Haining,Others,Ordinary trade,Singapore,Singapore,Changning,Others,,32021000,Kilogram,50
40246278,,Liaoyang,Others,Ordinary trade,Indonesia,Indonesia,Liaoyang,Others,,15132900,Kilogram,47690943
419045,,4516,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,4453,Special Economic Zone,,84742090,Number of item/Set,1
217,,Shenzhen,Special Economic Zone,Ordinary trade,HongKong,France,Zhuzhou,Hi-Technology Industry Development Area,,34039900,Kilogram,16
189297,,Wuwei,Others,Ordinary trade,UnitedStates,UnitedStates,Shenzhen,Special Economic Zone,,10011900,Kilogram,500000
301,,Xicheng,Others,Ordinary trade,UnitedStates,UnitedStates,Shenzhen,Special Economic Zone,,39172100,Kilogram,0
945,,Other,Others,39,Turkey,China,Nanchang,Others,,95066210,Number of item/Set,200
2910,,Xicheng,Others,Ordinary trade,Singapore,Singapore,Bayin,Others,,40169390,Kilogram,1
235575,,Baoshan,Others,Ordinary trade,S.Africa,S.Africa,Nanhai,Others,,39094000,Kilogram,135000
11004531,,Huizhou,Others,Ordinary trade,Singapore,Singapore,Changsha,Others,,27075000,Kilogram,10156776
811755,,Wendeng,Others,Process with imported materials,Spain,Spain,Wendeng,Others,,2032900,Kilogram,242671
283,,Zhangye,Others,39,France,France,Lanzhou,Others,,12077010,Kilogram,0
172915,,Jinghai,Others,Ordinary trade,Australia,Australia,Jinghai,Others,,2044300,Kilogram,53638
2966430,,Zhuhai,Special Economic Zone,Ordinary trade,Germany,Germany,Chaoyang,Others,,12102000,Kilogram,468745
14167184,,Yancheng,Others,Ordinary trade,Australia,Australia,Dongcheng,Others,,10039000,Kilogram,43152000
16041,,Suzhou,Others,Ordinary trade,Australia,Australia,Qingdao,Others,,22042100,Liter,1152
2676,,Shaoxing,Others,Process with imported materials,HongKong,China,Zhangjiagang,Others,,85437099,Number of item/Set,1568
