value,customs_districts_label,location_chinese_trader,trader_zone,customs_regime,country_of_destination,country_of_consumption,location_chinese_producer,producer_zone,transportation_modes,china_hs8,quantity_unit,quantity
2835,,Minhang,Others,39,KoreaRep,KoreaRep,Shangrao,Others,,42022100,Kilogram,205
2,,Hefei,Others,39,Japan,Japan,4451,Others,,73181590,Kilogram,0
14640,,Baoshan,Others,Ordinary trade,Morocco,Morocco,Hangzhou,Others,,12119050,Kilogram,7025
558,,Other,Others,39,Japan,Japan,Chaoyang,Others,,38160000,Kilogram,30
621,,Huaihua,Others,Ordinary trade,Switzerland,UnitedStates,4453,Special Economic Zone,,40169990,Kilogram,9
435,,Other,Others,39,Italy,Italy,Miyun,Others,,84807190,Number of item/Set,2
21504,,Yueyang,Others,Ordinary trade,Indonesia,Indonesia,Dongguan,Others,,14049090,Kilogram,134000
24765,,Nanhui,Others,Ordinary trade,Germany,Germany,Yixing,Others,,38119000,Kilogram,2922
11728519,,Other,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,Chaozhou,Others,,27011290,Kilogram,177200000
94,,Wuhu,Ecoomic & Technological Development Area,Ordinary trade,Japan,Japan,Putuo,Others,,29212900,Kilogram,0
396800,,Mianyan,Others,Ordinary trade,Thailand,Thailand,Pudong,Ecoomic & Technological Development Area,,39074000,Kilogram,160000
3102,,Taiyuan,Others,Ordinary trade,Germany,Romania,Tongxian,Others,,85365000,Number of item/Set,70
453577,,Dalian,Others,Ordinary trade,Australia,Australia,Hexi,Others,,2022000,Kilogram,108186
1815504,,Zhoushan,Others,Ordinary trade,Australia,Australia,3118,Others,,26011110,Kilogram,12747000
2948,,Xingtai,Others,Ordinary trade,Canada,Canada,Qingdao,Ecoomic & Technological Development Area,,4090000,Kilogram,660
244557,,Qingpu,Others,Ordinary trade,Philippines,Philippines,Heze,Others,,8039000,Kilogram,420420
193,,Shijiazhuang,Others,39,Ireland,Ireland,Zhuhai,Special Economic Zone,,29420000,Kilogram,0
634748,,Hongkou,Others,Ordinary trade,UnitedArabEmirates,UnitedArabEmirates,Ningbo,Others,,39012000,Kilogram,459831
1800,,Zhuhai,Special Economic Zone,Ordinary trade,Japan,Japan,Changning,Others,,39123900,Kilogram,60
85200,,Dujiangyan,Others,Ordinary trade,India,India,Wuxi,Others,,84749000,Kilogram,15940
22197,,Yongchuan,Others,Ordinary trade,Belgium,Belgium,Tanggu,Bonded Area,,47071000,Kilogram,66260
2895,,Other,Others,Ordinary trade,Germany,Germany,Changpin,Hi-Technology Industry Development Area,,39172100,Kilogram,39
1523675,,Zhenjiang,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Daqing,Hi-Technology Industry Development Area,,27131190,Kilogram,13614205
43135,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,France,France,Deyang,Others,,32099010,Kilogram,2833
1381218,,Foshan,Others,Ordinary trade,Thailand,Thailand,Beichen,Others,,44079990,Cubic meter,3207
295955,,Dongguan,Others,Ordinary trade,SlovakiaRep,SlovakiaRep,Langfang,Others,,60053100,Meter,28865
176329,,Zhangjiakou,Others,Process with imported materials,Australia,Australia,Zhangjiakou,Others,,2023000,Kilogram,27989
82320,,Yichung,Others,Ordinary trade,Thailand,Thailand,Yichung,Others,,5051000,Kilogram,64151
36161,,Wuhan,Others,Ordinary trade,Spain,Spain,Suzhou,Others,,69089000,Kilogram,67695
10014,,Foshan,Others,Ordinary trade,HongKong,Taiwanprov.,4469,Others,,34022090,Kilogram,5249
2071,,Hebei,Others,39,Germany,Germany,Nanhui,Others,,39269010,Kilogram,82
6270,,Dandong,Others,Ordinary trade,Malaysia,China,Hefei,Others,,73269010,Kilogram,6600
429179,,Kunming,Others,Ordinary trade,UnitedStates,UnitedStates,Xiamen,Special Economic Zone,,10059000,Kilogram,1500000
19360,,Dongcheng,Others,Ordinary trade,HongKong,China,Yanqing,Others,,85319010,Kilogram,1381
768,,Chizhou,Others,Ordinary trade,UnitedStates,UnitedStates,Jinhua,Others,,44219090,Kilogram,75
145938,,Zhenjiang,Others,Ordinary trade,Belgium,Germany,Jinan,Others,,22030000,Liter,86852
29371,,Jiaozhou,Others,Ordinary trade,KoreaRep,KoreaRep,Jime,Others,,54074200,Meter,9688
37858,,Qingdao,Others,Ordinary trade,Australia,Australia,Zhangjiagang,Bonded Area,,22042100,Liter,10584
89024,,Taizhou,Others,Ordinary trade,Japan,Japan,Kunshan,Others,,40021913,Kilogram,19200
5375,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,Japan,Japan,Jingan,Others,,9012100,Kilogram,218
1559,,Huzhou,Others,39,Italy,Italy,Ningbo,Others,,48211000,Kilogram,26
106983,,Other,Others,Ordinary trade,Australia,Australia,Shijiazhuang,Others,,2013000,Kilogram,22363
16125,,Chaoyang,Others,Ordinary trade,France,France,Haikou,Special Economic Zone,,16022000,Kilogram,131
44643007,,Shangqiu,Others,Ordinary trade,Australia,Australia,Shenzhen,Special Economic Zone,,28182000,Kilogram,125500000
